"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
8.327068012E1	6.499337369E1	2.556080362E1	1.057837134E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.427011924E1	6.499337394E1	2.556080325E1	1.064538823E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.527028273E1	6.499337377E1	2.556080384E1	1.068634258E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.627069898E1	6.499337360E1	2.556080407E1	1.068695275E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.726984554E1	6.499337553E1	2.556081916E1	1.091168407E1	7.300000191E-1	7.709999847E1	3.790092468E0	2.500000000E0
8.826991137E1	6.499338140E1	2.556086778E1	1.090643432E1	2.480000019E0	7.630000305E1	3.790092468E0	2.500000000E0
8.927026976E1	6.499339138E1	2.556094883E1	1.082067890E1	3.950000048E0	7.690000153E1	3.790092468E0	2.500000000E0
9.027015403E1	6.499339958E1	2.556104550E1	1.080663611E1	4.469999790E0	8.640000153E1	3.790092468E0	2.500000000E0
9.127071325E1	6.499339425E1	2.556115155E1	1.077963998E1	4.929999828E0	1.074000015E2	3.790092468E0	2.500000000E0
9.227077939E1	6.499337321E1	2.556126163E1	1.094916181E1	5.420000076E0	1.376000061E2	3.790092468E0	2.500000000E0
9.327027903E1	6.499332537E1	2.556133171E1	1.103602203E1	6.139999866E0	1.621000061E2	3.790092468E0	2.500000000E0
9.427015554E1	6.499326100E1	2.556139002E1	1.108337850E1	7.480000019E0	1.686000061E2	3.790092468E0	2.500000000E0
9.527070116E1	6.499318480E1	2.556144098E1	1.120866671E1	8.750000000E0	1.680000000E2	3.790092468E0	2.500000000E0
9.627056033E1	6.499310481E1	2.556148633E1	1.130294622E1	9.060000420E0	1.711999969E2	3.790092468E0	2.500000000E0
9.727027778E1	6.499301642E1	2.556152916E1	1.148669571E1	1.002000046E1	1.721000061E2	3.790092468E0	2.500000000E0
9.827015137E1	6.499292149E1	2.556157187E1	1.165212854E1	1.071000004E1	1.733999939E2	3.790092468E0	2.500000000E0
9.927053637E1	6.499282241E1	2.556160124E1	1.178624815E1	1.114999962E1	1.761999969E2	3.790092468E0	2.500000000E0
1.002701563E2	6.499271950E1	2.556162151E1	1.190962314E1	1.157999992E1	1.781000061E2	3.790092468E0	2.500000000E0
1.012701507E2	6.499261151E1	2.556163497E1	1.208652208E1	1.202000046E1	1.796000061E2	3.790092468E0	2.500000000E0
1.022701264E2	6.499250239E1	2.556163644E1	1.229021592E1	1.210999966E1	1.818999939E2	3.790092468E0	2.500000000E0
1.032702779E2	6.499239340E1	2.556162837E1	1.224696287E1	1.219999981E1	1.828999939E2	3.790092468E0	2.500000000E0
1.042703070E2	6.499228383E1	2.556161941E1	1.224972990E1	1.231999969E1	1.833000031E2	3.790092468E0	2.500000000E0
1.052700644E2	6.499217283E1	2.556161089E1	1.225701214E1	1.232999992E1	1.833000031E2	3.790092468E0	2.500000000E0
1.062700841E2	6.499206628E1	2.556160308E1	1.236195471E1	1.203999996E1	1.823000031E2	3.790092468E0	2.500000000E0
1.072699013E2	6.499195990E1	2.556159134E1	1.231723974E1	1.194999981E1	1.828000031E2	3.790092468E0	2.500000000E0
1.082707566E2	6.499185355E1	2.556158162E1	1.230157727E1	1.186999989E1	1.820000000E2	3.790092468E0	2.500000000E0
1.092702960E2	6.499174883E1	2.556157692E1	1.223513444E1	1.189999962E1	1.810000000E2	3.790092468E0	2.500000000E0
1.102701551E2	6.499164177E1	2.556157765E1	1.220500463E1	1.188000011E1	1.781999969E2	3.790092468E0	2.500000000E0
1.112704836E2	6.499153529E1	2.556158644E1	1.207416632E1	1.186999989E1	1.790000000E2	3.790092468E0	2.500000000E0
1.122702811E2	6.499142964E1	2.556160797E1	1.205526563E1	1.189000034E1	1.733999939E2	3.790092468E0	2.500000000E0
1.132706325E2	6.499132312E1	2.556162697E1	1.200468719E1	1.168000031E1	1.713000031E2	3.790092468E0	2.500000000E0
1.142705472E2	6.499121882E1	2.556166133E1	1.224524656E1	1.178999996E1	1.741999969E2	3.790092468E0	2.500000000E0
1.152698697E2	6.499111576E1	2.556170080E1	1.263094803E1	1.180000019E1	1.716000061E2	3.790092468E0	2.500000000E0
1.162698571E2	6.499101119E1	2.556175403E1	1.286942950E1	1.181999969E1	1.693000031E2	3.790092468E0	2.500000000E0
1.172704474E2	6.499090621E1	2.556181500E1	1.306072942E1	1.190999985E1	1.668000031E2	3.790092468E0	2.500000000E0
